,District Name,January,February,March,April,May,June,July,August,September,October,November,December
172,Varanasi 2013,40.949999999999996,28.275,32.75,19.45,14.575,30.025000000000002,53.074999999999996,64.725,27.175,60.75,40.300000000000004,39.574999999999996
173,Chandauli 2013,40.949999999999996,28.275,32.75,19.45,14.575,30.025000000000002,53.074999999999996,64.725,27.175,60.75,40.300000000000004,39.574999999999996
174,Fatehabad 2013,54.025,27.275,46.025,30.1,14.100000000000001,11.45,68.75,35.075,22.225,96.025,29.6,56.225
175,Ambala 2013,40.3,19.175,42.05,27.05,17.675,14.325000000000001,62.65,35.625,22.25,93.675,25.575,39.8
176,Gurdaspur 2013,41.8,19.05,36.85,25.1,16.775,22.05,62.6,38.775000000000006,30.05,88.325,25.825,31.325000000000003
177,Rewari 2013,60.65,30.5,46.375,29.175,13.75,15.35,71.05,32.975,16.875,89.375,28.3,61.375
178,Bhiwani 2013,60.65,30.5,46.375,29.175,13.75,15.35,71.05,32.975,16.875,89.375,28.3,61.375
179,Kurukshetra 2013,40.3,19.175,42.05,27.05,17.675,14.325000000000001,62.65,35.625,22.25,93.675,25.575,39.8
180,Jhajjar 2013,60.65,30.5,46.375,29.175,13.75,15.35,71.05,32.975,16.875,89.375,28.3,61.375
181,Jind 2013,54.025,27.275,46.025,30.1,14.100000000000001,11.45,68.75,35.075,22.225,96.025,29.6,56.225
182,Kaithal 2013,54.025,27.275,46.025,30.1,14.100000000000001,11.45,68.75,35.075,22.225,96.025,29.6,56.225
183,Panipat 2013,54.025,27.275,46.025,30.1,14.100000000000001,11.45,68.75,35.075,22.225,96.025,29.6,56.225
184,Saharanpur 2013,54.025,27.275,46.025,30.1,14.100000000000001,11.45,68.75,35.075,22.225,96.025,29.6,56.225
185,Muzaffarnagar 2013,54.025,27.275,46.025,30.1,14.100000000000001,11.45,68.75,35.075,22.225,96.025,29.6,56.225
186,Panchsheel nagar 2013,60.65,30.5,46.375,29.175,13.75,15.35,71.05,32.975,16.875,89.375,28.3,61.375
187,Nirmal 2013,29.45,20.224999999999998,10.675,11.8,21.525,38.9,59.175,85.0,36.5,42.925,35.975,17.674999999999997
188,Siddipet 2013,27.4,22.725,11.025,14.95,22.6,25.0,48.05,69.725,30.275,29.8,28.575000000000003,15.525
189,East Godavari 2013,28.85,23.075,9.725,13.7,22.5,32.45,54.875,77.875,32.275,37.625,35.275,17.025
190,Dausa 2013,47.375,30.175,36.0,24.0,13.774999999999999,26.75,58.025,50.5,24.4,70.3,32.475,49.325
191,Bharatpur 2013,53.475,28.575,40.325,29.525,13.8,21.525,65.7,33.275,17.425,81.25,25.225,60.25
192,Ajmer 2013,49.4,31.875,39.55,26.475,12.775,27.825,59.675,42.125,22.175,78.5,30.875,56.475
193,Banaskantha 2013,54.775,39.225,60.65,27.85,8.5,38.849999999999994,60.0,67.35,23.025,87.45,58.875,64.05
194,Patan 2013,62.225,42.025,72.75,34.75,9.8,41.725,67.7,76.85,17.15,98.875,66.55,66.825
195,Sabarkantha 2013,62.225,42.025,72.75,34.75,9.8,41.725,67.7,76.85,17.15,98.875,66.55,66.825
196,Gandhinagar 2013,62.225,42.025,72.75,34.75,9.8,41.725,67.7,76.85,17.15,98.875,66.55,66.825
197,Mehsana 2013,62.225,42.025,72.75,34.75,9.8,41.725,67.7,76.85,17.15,98.875,66.55,66.825
198,Aravalli 2013,62.225,42.025,72.75,34.75,9.8,41.725,67.7,76.85,17.15,98.875,66.55,66.825
199,Junagadh 2013,80.475,58.85,31.825,15.100000000000001,11.45,43.725,73.275,56.85,23.325,84.275,61.425,62.625
200,Jamnagar 2013,73.925,44.975,70.9,28.85,10.475,38.7,55.925,69.9,17.425,105.0,62.475,69.2
201,Rajkot 2013,73.925,44.975,70.9,28.85,10.475,38.7,55.925,69.9,17.425,105.0,62.475,69.2
202,Surendranagar 2013,73.925,44.975,70.9,28.85,10.475,38.7,55.925,69.9,17.425,105.0,62.475,69.2
203,Gir Somnath 2013,102.825,83.95,51.475,22.175,15.275,44.075,76.6,67.975,28.375,111.14999999999999,84.525,75.8
204,Sangli 2014,29.775,10.55,27.925,16.1,13.65,9.65,22.2,4.75,34.7,38.325,45.6,27.475
205,Solapur 2014,29.775,10.55,27.925,16.1,13.65,9.65,22.2,4.75,34.7,38.325,45.6,27.475
206,Kolhapur 2014,29.025,6.5,44.85,18.525,21.325,14.65,23.725,5.275,32.1,32.325,18.95,12.3
207,Osmanabad 2014,29.85,13.100000000000001,21.725,15.475,9.425,11.05,25.45,11.55,41.375,42.775,54.875,33.4
208,Satara 2014,29.775,10.55,27.925,16.1,13.65,9.65,22.2,4.75,34.7,38.325,45.6,27.475
209,Jalna 2014,40.175,18.075,27.875,17.375,15.025,12.25,27.425,15.55,53.825,40.85,57.95,29.4
210,Dhule 2014,28.025,13.9,26.125,19.875,12.625,15.4,21.8,11.35,41.775000000000006,40.5,48.825,28.45
211,Aurangabad 2014,35.15,16.175,26.275,17.65,14.0,12.925,25.7,14.05,48.65,41.125,54.85,29.275
212,Barddhaman 2014,32.075,15.125,27.125,19.175,15.1,14.8,22.225,12.0,46.3,37.0,48.85,25.025
213,Sitamarhi 2014,20.975,14.025,47.599999999999994,31.775,26.425,36.575,15.45,46.275,47.7,33.85,38.025,34.025
214,Samastipur 2014,23.275,12.925,48.025,33.85,23.0,33.7,14.875,30.9,52.900000000000006,36.725,44.4,31.45
215,Muzaffarpur 2014,20.975,14.025,47.599999999999994,31.775,26.425,36.575,15.45,46.275,47.7,33.85,38.025,34.025
216,Khagaria 2014,23.275,12.925,48.025,33.85,23.0,33.7,14.875,30.9,52.900000000000006,36.725,44.4,31.45
